file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,class,3,9,1,7,36,0.0,0.0,9,1,4,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,44,1,0,0,0,0,9,7,10,0,6,0,0,0,0,31,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,class,2,4,1,3,6,0.0,0.0,4,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0,0,0,4,18,21,0,4,0,0,0,0,15,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Harness.java,Harness,class,2,2,1,5,1,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,2,1,2,0,2,0,0,0,0,10,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Benchmark.java,Benchmark,class,0,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
