file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,class,3,9,1,7,36,0.0,0.0,9,1,4,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,44,1,0,0,0,0,9,7,10,0,6,0,0,0,0,32,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,class,1,20,1,1,190,0.0,0.0,20,5,13,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,85,12,0,0,0,0,20,52,11,0,1,0,0,0,0,29,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/NBodySystem.java,nbody.NBodySystem,class,2,4,1,21,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,102,2,0,0,0,0,4,72,79,0,18,0,0,0,0,27,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./NBody.java,NBody,class,3,3,1,4,3,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,3,1,4,0,4,0,0,0,0,14,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Harness.java,Harness,class,2,2,1,5,1,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,2,1,2,0,2,0,0,0,0,10,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Benchmark.java,Benchmark,class,0,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
