file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,measure/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,measure/1[Benchmark],startTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,measure/1[Benchmark],endTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,measure/1[Benchmark],runTime,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,runBenchmark/0,e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,printResult/1[long],runTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,setNumIterations/1[int],numIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,setInnerIterations/1[int],innerIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,Run/1[java.lang.String],name,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,getSuiteFromName/1[java.lang.String],e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,getSuiteFromName/1[java.lang.String],name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,doRuns/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Run.java,Run,doRuns/1[Benchmark],i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Storage.java,Storage,"buildTreeDepth/2[int,som.Random]",arr,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Storage.java,Storage,"buildTreeDepth/2[int,som.Random]",random,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Storage.java,Storage,"buildTreeDepth/2[int,som.Random]",depth,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Storage.java,Storage,"buildTreeDepth/2[int,som.Random]",v,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Storage.java,Storage,benchmark/0,random,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Storage.java,Storage,verifyResult/1[java.lang.Object],result,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./som/Random.java,som.Random,main/1[java.lang.String[]],args,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./som/Random.java,som.Random,main/1[java.lang.String[]],e,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./som/Random.java,som.Random,main/1[java.lang.String[]],rnd,9
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Harness.java,Harness,processArguments/1[java.lang.String[]],args,5
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Harness.java,Harness,processArguments/1[java.lang.String[]],run,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",rand,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",randBenchmarkId,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",benchmarks,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",benchmarksNbr,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Harness.java,Harness,main/1[java.lang.String[]],args,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Harness.java,Harness,main/1[java.lang.String[]],run,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Storage/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],innerIterations,1
