file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,class,2,14,1,12,0,0.3,0.6,10,1,5,5,0,0,5,0,0,0,5,0,0,5,0,0,2,0,4,64,1,1,0,2,2,12,4,11,7,9,1,0,0,0,43,17,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./som/Random.java,som.Random,class,1,12,1,2,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,44,2,0,9,1,2,2,13,3,2,2,2,0,0,0,12,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Harness.java,Harness,class,3,8,1,12,6,NaN,NaN,4,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,36,1,1,0,0,0,5,8,5,0,5,2,0,0,0,36,17,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce,class,4,7,2,3,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,63,2,2,1,0,0,1,10,6,0,6,3,0,1,1,18,17,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,innerclass,2,6,1,2,0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,4,0,0,4,0,0,0,0,4,40,1,0,0,0,2,0,14,21,8,7,1,0,0,0,12,10,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Benchmark.java,Benchmark,class,1,5,1,2,3,0.0,0.0,3,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,0,1,1,0,1,2,0,0,0,12,1025,0
