file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/NBody/./Run.java,Run,class,2,14,1,12,0,0.3,0.6,10,1,5,5,0,0,5,0,0,0,5,0,0,5,0,0,2,0,4,64,1,1,0,2,2,12,4,11,7,9,1,0,0,0,43,17,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/NBody/./nbody/Body.java,nbody.Body,class,1,20,1,0,138,0.1368421,0.55263156,20,5,13,0,0,7,20,0,0,0,10,3,0,10,0,0,4,0,0,80,12,0,0,0,3,0,41,19,11,10,0,0,0,0,36,16,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/NBody/./nbody/NBodySystem.java,nbody.NBodySystem,class,2,10,1,21,0,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,7,64,2,6,0,0,9,0,10,29,49,24,2,0,0,0,24,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/NBody/./NBody.java,NBody,class,3,7,2,4,6,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,4,1,4,0,0,5,6,2,2,2,1,0,0,0,20,17,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/NBody/./Harness.java,Harness,class,3,8,1,12,6,NaN,NaN,4,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,36,1,1,0,0,0,5,8,5,0,5,2,0,0,0,36,17,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/NBody/./Benchmark.java,Benchmark,class,1,5,1,2,3,0.0,0.0,3,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,0,1,1,0,1,2,0,0,0,12,1025,0
