file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,Run/1[java.lang.String],true,3,1,1,2,4,0,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,runBenchmark/0,false,17,3,1,3,6,0,1,0,3,2,3,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,printTotal/0,false,50,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,doRuns/1[Benchmark],false,24,2,1,2,4,0,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,setNumIterations/1[int],false,13,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,printResult/1[long],false,40,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,getSuiteFromName/1[java.lang.String],false,8,0,1,1,4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,10,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,reportBenchmark/0,false,44,0,1,1,5,0,1,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,3,2,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,measure/1[Benchmark],false,29,3,1,3,10,0,3,1,3,1,1,0,0,0,0,1,5,6,0,0,0,0,0,7,2,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,innerBenchmarkLoop/1[int],false,8,1,1,3,6,1,2,1,3,2,1,0,0,0,0,1,0,2,0,0,0,0,0,6,1,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,Mandelbrot/0,true,3,1,1,1,4,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,"verifyResult/2[int,int]",false,38,0,1,1,4,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,mandelbrot/1[int],false,15,0,1,1,22,1,1,1,1,0,0,0,0,0,0,1,18,18,0,0,0,0,0,3,2,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Harness.java,Harness,main/1[java.lang.String[]],false,3,2,1,4,6,0,1,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,4,9,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Harness.java,Harness,processArguments/1[java.lang.String[]],false,10,1,1,2,6,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,10,0,false
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Benchmark.java,Benchmark,Benchmark/0,true,3,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
